Número,Combinación
68,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice custodie a la inversa, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
69,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice custodie a la inversa, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
70,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice custodie a la inversa, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
71,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice custodie a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
72,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice custodie a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
73,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea dentro del territorio nacional, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
74,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea dentro del territorio nacional, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
75,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea dentro del territorio nacional, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
76,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea dentro del territorio nacional, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
77,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
78,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
79,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea de éste hacia el extranjero, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
80,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea de éste hacia el extranjero, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
81,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea de éste hacia el extranjero, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
82,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea de éste hacia el extranjero, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
83,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
84,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
85,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea a la inversa, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
86,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea a la inversa, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
87,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea a la inversa, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
88,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea a la inversa, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
89,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
90,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice posea a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
91,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie dentro del territorio nacional, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
92,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie dentro del territorio nacional, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
93,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie dentro del territorio nacional, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
94,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie dentro del territorio nacional, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
95,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
96,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
97,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie de éste hacia el extranjero, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
98,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie de éste hacia el extranjero, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
99,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie de éste hacia el extranjero, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
100,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie de éste hacia el extranjero, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
101,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
102,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
103,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie a la inversa, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
104,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie a la inversa, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
105,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie a la inversa, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
106,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie a la inversa, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
107,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
108,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice cambie a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
109,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta dentro del territorio nacional, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
110,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta dentro del territorio nacional, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
111,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta dentro del territorio nacional, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
112,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta dentro del territorio nacional, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
113,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
114,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
115,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta de éste hacia el extranjero, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
116,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta de éste hacia el extranjero, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
117,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta de éste hacia el extranjero, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
118,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta de éste hacia el extranjero, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
119,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
120,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
121,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta a la inversa, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
122,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta a la inversa, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
123,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta a la inversa, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
124,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta a la inversa, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
125,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
126,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice convierta a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
127,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite dentro del territorio nacional, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
128,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite dentro del territorio nacional, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
129,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite dentro del territorio nacional, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
130,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite dentro del territorio nacional, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
131,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
132,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
133,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite de éste hacia el extranjero, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
134,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite de éste hacia el extranjero, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
135,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite de éste hacia el extranjero, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
136,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite de éste hacia el extranjero, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
137,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
138,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
139,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite a la inversa, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
140,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite a la inversa, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
141,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite a la inversa, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
142,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite a la inversa, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
