Número,Combinación
15,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte ubicación de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
16,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte ubicación de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
17,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte ubicación de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
18,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte ubicación de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
19,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte destino de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
20,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte destino de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
21,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte destino de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
22,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte destino de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
23,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte destino de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
24,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte destino de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
25,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte movimiento de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
26,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte movimiento de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
27,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte movimiento de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
28,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte movimiento de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
29,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte movimiento de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
30,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte movimiento de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
31,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte propiedad de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
32,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte propiedad de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
33,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte propiedad de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
34,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte propiedad de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
35,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte propiedad de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
36,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte propiedad de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
37,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte titularidad de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
38,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte titularidad de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
39,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte titularidad de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
40,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte titularidad de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
41,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte titularidad de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
42,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte titularidad de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
43,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra la naturaleza de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
44,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra la naturaleza de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
45,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra la naturaleza de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
46,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra la naturaleza de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
47,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra la naturaleza de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
48,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra la naturaleza de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
49,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra origen de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
50,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra origen de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
51,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra origen de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
52,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra origen de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
53,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra origen de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
54,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra origen de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
55,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra ubicación de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
56,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra ubicación de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
57,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra ubicación de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
58,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra ubicación de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
59,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra ubicación de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
60,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra ubicación de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
61,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra destino de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
62,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra destino de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
63,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra destino de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
64,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra destino de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
65,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra destino de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
66,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra destino de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
67,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra movimiento de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
68,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra movimiento de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
69,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra movimiento de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
70,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra movimiento de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
71,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra movimiento de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
72,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra movimiento de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
73,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra propiedad de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
74,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra propiedad de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
75,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra propiedad de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
76,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra propiedad de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
77,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra propiedad de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
78,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra propiedad de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
79,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra titularidad de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
80,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra titularidad de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
81,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra titularidad de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
82,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra titularidad de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
83,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra titularidad de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
84,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra titularidad de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
85,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar la naturaleza de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
86,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar la naturaleza de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
87,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar la naturaleza de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
88,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar la naturaleza de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
89,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar la naturaleza de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
90,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar la naturaleza de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
91,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar origen de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
92,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar origen de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
93,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar origen de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
94,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar origen de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
95,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar origen de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
96,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar origen de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
97,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar ubicación de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
98,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar ubicación de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
99,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar ubicación de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
100,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar ubicación de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
101,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar ubicación de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
102,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar ubicación de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
103,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar destino de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
104,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar destino de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
105,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar destino de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
106,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar destino de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
107,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar destino de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
108,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar destino de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
109,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar movimiento de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
110,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar movimiento de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
111,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar movimiento de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
112,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar movimiento de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
113,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar movimiento de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
114,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar movimiento de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
115,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar propiedad de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
116,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar propiedad de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
117,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar propiedad de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
118,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar propiedad de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
119,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar propiedad de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
120,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar propiedad de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
121,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar titularidad de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
122,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar titularidad de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
123,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar titularidad de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
124,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar titularidad de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
125,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar titularidad de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
126,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar titularidad de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
127,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir la naturaleza de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
128,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir la naturaleza de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
129,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir la naturaleza de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
130,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir la naturaleza de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
131,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir la naturaleza de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
132,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir la naturaleza de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
133,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir origen de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
134,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir origen de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
135,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir origen de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
136,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir origen de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
137,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir origen de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
138,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir origen de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
139,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir ubicación de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
140,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir ubicación de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
141,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir ubicación de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
142,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir ubicación de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
143,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir ubicación de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
144,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir ubicación de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
145,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir destino de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
146,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir destino de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
147,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir destino de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
148,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir destino de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
149,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir destino de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
150,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir destino de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
151,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir movimiento de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
